understat_player_id,player_code,player_name,web_name,fpl_full_name,team_codes,seasons,method,score,status,reason
8942,472713,Aaron Hickey,Hickey,Aaron Hickey,94,"2025-2026,2026-2027",exact_name,100.0,accepted,""
5603,225321,Aaron Ramsdale,Ramsdale,Aaron Ramsdale,4,2025-2026,exact_name,100.0,accepted,""
5584,214590,Aaron Wan-Bissaka,Wan-Bissaka,Aaron Wan-Bissaka,"7,21","2025-2026,2026-2027",exact_name,100.0,accepted,""
12911,531442,Abdul Fatawu,Fatawu,Abdul Fatawu,40,2026-2027,exact_name,100.0,accepted,""
11763,578153,Abduqodir Khusanov,Khusanov,Abdukodir Khusanov,43,"2025-2026,2026-2027",last_initial,96.0,accepted,""
4419,155511,Adam Armstrong,Armstrong,Adam Armstrong,39,2025-2026,exact_name,100.0,accepted,""
825,54469,Adam Smith,Smith,Adam Smith,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12409,496221,Adam Wharton,Wharton,Adam Wharton,31,"2025-2026,2026-2027",exact_name,100.0,accepted,""
900,159533,Adama Traoré,Adama,Adama Traoré Diarra,"21,54",2025-2026,contains_name,97.0,accepted,""
8640,494521,Adrien Truffert,Truffert,Adrien Truffert,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
1750,154043,Ainsley Maitland-Niles,Maitland-Niles,Ainsley Maitland-Niles,11,2026-2027,exact_name,100.0,accepted,""
13214,632794,Aladji Bamba,Bamba,Aladji Bamba,4,2026-2027,exact_name,100.0,accepted,""
10552,493105,Alejandro Garnacho,Garnacho,Alejandro Garnacho Ferreyra,"7,8","2025-2026,2026-2027",contains_name,97.0,accepted,""
12168,551483,Alejandro Jiménez,A.Jimenez,Álex Jiménez Sánchez,91,2025-2026,web_last_initial,95.5,accepted,""
500,153133,Alex Iwobi,Iwobi,Alex Iwobi,54,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12199,545477,Alex Murphy,A.Murphy,Alex Murphy,4,2025-2026,exact_name,100.0,accepted,""
12149,503139,Alex Scott,Scott,Alex Scott,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14374,614574,Alex Tóth,Tóth.A,Alex Tóth,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
5232,219168,Alexander Isak,Isak,Alexander Isak,14,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8379,243016,Alexis Mac Allister,Mac Allister,Alexis Mac Allister,14,"2025-2026,2026-2027",exact_name,100.0,accepted,""
1257,116535,Alisson,A.Becker,Alisson Becker,14,"2025-2026,2026-2027",contains_name,97.0,accepted,""
2310,84182,Alphonse Areola,Areola,Alphonse Areola,21,2025-2026,exact_name,100.0,accepted,""
12054,451302,Altay Bayindir,Bayindir,Altay Bayındır,1,2025-2026,exact_name,100.0,accepted,""
11186,561245,Alvaro Rodríguez,Rodríguez,Álvaro Rodríguez,91,2026-2027,exact_name,100.0,accepted,""
14446,653481,Alysson Edward,Alysson,Alysson Edward Franco da Rocha dos Santos,7,"2025-2026,2026-2027",contains_name,97.0,accepted,""
8127,493250,Amad Diallo Traore,Amad,Amad Diallo,1,2025-2026,contains_name,97.0,accepted,""
9667,449871,Amadou Onana,Onana,Amadou Onana,7,2025-2026,exact_name,100.0,accepted,""
13456,463726,Amar Dedic,Dedić,Amar Dedic,4,2026-2027,exact_name,100.0,accepted,""
8211,489888,Amine Adli,Adli,Amine Adli,91,2025-2026,exact_name,100.0,accepted,""
14770,570794,Anan Khalaili,Khalaili,Anan Khalaili,31,2026-2027,exact_name,100.0,accepted,""
1688,122798,Andrew Robertson,Robertson,Andrew Robertson,"6,14","2025-2026,2026-2027",exact_name,100.0,accepted,""
11808,532605,Andrey Santos,Andrey Santos,Andrey Nascimento dos Santos,"1,8","2025-2026,2026-2027",exact_web,99.0,accepted,""
13022,509291,André,André,André Trindade da Costa Neto,39,2025-2026,exact_web,99.0,accepted,""
13392,606798,Andrés García,A.García,Andrés García,7,2025-2026,exact_name,100.0,accepted,""
12774,229384,Andy Irving,Irving,Andy Irving,21,2025-2026,exact_name,100.0,accepted,""
5598,209041,Angel Gomes,Angel,Angel Gomes,39,2025-2026,exact_name,100.0,accepted,""
5544,107265,Angus Gunn,Gunn,Angus Gunn,17,2025-2026,exact_name,100.0,accepted,""
9524,449434,Anthony Elanga,Elanga,Anthony Elanga,4,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8150,232826,Anthony Gordon,Gordon,Anthony Gordon,4,2025-2026,exact_name,100.0,accepted,""
11363,437730,Antoine Semenyo,Semenyo,Antoine Semenyo,"43,91","2025-2026,2026-2027",exact_name,100.0,accepted,""
9910,466525,Anton Stach,Stach,Anton Stach,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8940,169528,Antonee Robinson,Robinson,Antonee Robinson,54,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13780,543295,Antoni Milambo,Milambo,Antoni Milambo,94,2025-2026,exact_name,100.0,accepted,""
13348,485055,Antonín Kinsky,Kinsky,Antonín Kinský,6,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14859,483067,António Silva,Silva,António João Pereira de Albuquerque Tavares da Silva,91,2026-2027,last_initial,96.0,accepted,""
13834,248056,Ao Tanaka,Tanaka,Tanaka Ao,2,"2025-2026,2026-2027",fuzzy_team,100.0,accepted,""
10184,547701,Archie Gray,Gray,Archie Gray,6,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8384,440323,Armando Broja,Broja,Armando Broja,90,2025-2026,exact_name,100.0,accepted,""
8056,465680,Arnaud Kalimuendo Muinga,Kalimuendo,Arnaud Kalimuendo,17,"2025-2026,2026-2027",contains_name,97.0,accepted,""
1760,105717,Arthur Masuaku,Masuaku,Arthur Masuaku,56,2025-2026,exact_name,100.0,accepted,""
4422,44699,Ashley Barnes,Barnes,Ashley Barnes,90,2025-2026,exact_name,100.0,accepted,""
12955,539142,Aurèle Amenda,Amenda,Aurèle Amenda,9,2026-2027,exact_name,100.0,accepted,""
6885,220362,Axel Disasi,Disasi,Axel Disasi,"21,31","2025-2026,2026-2027",exact_name,100.0,accepted,""
934,180804,Axel Tuanzebe,Tuanzebe,Axel Tuanzebe,90,2025-2026,exact_name,100.0,accepted,""
13080,606745,Ayden Heaven,Heaven,Ayden Heaven,1,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12162,637238,Ayyoub Bouaddi,Bouaddi,Ayyoub Bouaddi,43,2026-2027,exact_name,100.0,accepted,""
7268,242882,Bafode Diakite,Diakité,Bafodé Diakité,91,2025-2026,exact_name,100.0,accepted,""
11711,489639,Bart Verbruggen,Verbruggen,Bart Verbruggen,36,"2025-2026,2026-2027",exact_name,100.0,accepted,""
11243,461188,Bashir Humphreys,Humphreys,Bashir Humphreys,90,2025-2026,exact_name,100.0,accepted,""
13427,611665,Bazoumana Touré,Touré,Bazoumana Touré,4,2026-2027,exact_name,100.0,accepted,""
782,172850,Ben Chilwell,Chilwell,Ben Chilwell,31,2026-2027,exact_name,100.0,accepted,""
660,115556,Ben Davies,Davies,Ben Davies,6,2025-2026,exact_name,100.0,accepted,""
11231,496208,Ben Doak,Gannon-Doak,Ben Gannon-Doak,91,"2025-2026,2026-2027",last_initial,96.0,accepted,""
7298,198869,Ben White,White,Benjamin White,3,"2025-2026,2026-2027",last_initial,96.0,accepted,""
13242,606775,Ben Winterburn,Winterburn,Ben Winterburn,91,2025-2026,exact_name,100.0,accepted,""
14266,576620,Bendito Mantato,Bendito Mantato,Bendito Mantato,1,2025-2026,exact_name,100.0,accepted,""
11974,485711,Benjamin Sesko,Šeško,Benjamin Sesko,1,"2025-2026,2026-2027",exact_name,100.0,accepted,""
7240,242880,Benoit Badiashile Mukinayi,B.Badiashile,Benoît Badiashile Mukinayi,8,2025-2026,exact_name,100.0,accepted,""
3635,165809,Bernardo Silva,Bernardo,Bernardo Mota Veiga de Carvalho e Silva,43,2025-2026,last_initial,96.0,accepted,""
181,80201,Bernd Leno,Leno,Bernd Leno,54,"2025-2026,2026-2027",exact_name,100.0,accepted,""
695,110504,Bertrand Traoré,Traoré,Bertrand Traoré,56,2025-2026,exact_name,100.0,accepted,""
9983,486385,Beto,Beto,Norberto Bercique Gomes Betuncal,11,"2025-2026,2026-2027",exact_web,99.0,accepted,""
8483,461102,Bobby Thomas,Thomas,Bobby Thomas,9,2026-2027,exact_name,100.0,accepted,""
7075,218364,Borna Sosa,Sosa,Borna Sosa,31,2025-2026,exact_name,100.0,accepted,""
5789,226944,Boubacar Kamara,Kamara,Boubacar Kamara,7,"2025-2026,2026-2027",exact_name,100.0,accepted,""
10016,482616,Bradley Barcola,Barcola,Bradley Barcola,14,2026-2027,exact_name,100.0,accepted,""
13870,645618,Bradley Burrowes,Burrowes,Bradley Burrowes,7,2025-2026,exact_name,100.0,accepted,""
11310,513433,Brajan Gruda,Gruda,Brajan Gruda,36,2025-2026,exact_name,100.0,accepted,""
14745,230730,Brandon Thomas-Asante,Thomas-Asante,Brandon Thomas-Asante,9,2026-2027,exact_name,100.0,accepted,""
10751,427637,Brenden Aaronson,Aaronson,Brenden Aaronson,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
10760,242898,Brennan Johnson,Johnson,Brennan Johnson,"6,11,31","2025-2026,2026-2027",exact_name,100.0,accepted,""
9789,441264,Brian Brobbey,Brobbey,Brian Brobbey,56,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13136,496181,Brooke Norton-Cuffy,Norton-Cuffy,Brooke Norton-Cuffy,88,2026-2027,exact_name,100.0,accepted,""
1228,141746,Bruno Fernandes,B.Fernandes,Bruno Borges Fernandes,1,"2025-2026,2026-2027",last_initial,96.0,accepted,""
8327,208706,Bruno Guimarães,Bruno G.,Bruno Guimarães Rodriguez Moura,"3,4","2025-2026,2026-2027",contains_name,97.0,accepted,""
6552,446008,Bryan Mbeumo,Mbeumo,Bryan Mbeumo,1,"2025-2026,2026-2027",exact_name,100.0,accepted,""
7322,223340,Bukayo Saka,Saka,Bukayo Saka,3,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14744,661888,Caleb Yirenkyi,Yirenkyi,Caleb Yirenkyi,9,2026-2027,exact_name,100.0,accepted,""
6456,209046,Callum Hudson-Odoi,Hudson-Odoi,Callum Hudson-Odoi,17,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12359,565431,Callum Marshall,Marshall,Callum Marshall,21,2025-2026,exact_name,100.0,accepted,""
13224,499726,Callum Olusesi,Olusesi,Callum Olusesi,6,2025-2026,exact_name,100.0,accepted,""
468,75115,Callum Wilson,Wilson,Callum Wilson,"21,94","2025-2026,2026-2027",exact_name,100.0,accepted,""
11728,232892,Calvin Bassey,Bassey,Calvin Bassey,54,"2025-2026,2026-2027",exact_name,100.0,accepted,""
7904,200720,Caoimhin Kelleher,Kelleher,Caoimhín Kelleher,94,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12760,472739,Carl Rushworth,Rushworth,Carl Rushworth,9,2026-2027,exact_name,100.0,accepted,""
11297,502697,Carlos Alcaraz,Alcaraz,Carlos Alcaraz Durán,11,"2025-2026,2026-2027",contains_name,97.0,accepted,""
10527,535301,Carlos Baleba,Baleba,Carlos Baleba,36,2025-2026,exact_name,100.0,accepted,""
2248,61256,Casemiro,Casemiro,Carlos Henrique Casimiro,1,2025-2026,exact_web,99.0,accepted,""
11167,515621,Chadi Riad,Chadi Riad,Chadi Riad Dnanou,31,"2025-2026,2026-2027",exact_web,99.0,accepted,""
14118,647850,Charalampos Kostoulas,Kostoulas,Charalampos Kostoulas,36,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13078,592984,Chema Andres,,,36,2026-2027,override,100.0,accepted,Chema Andrés is José María Andrés Baixauli (Brighton)
13717,549912,Chemsdine Talbi,Talbi,Chemsdine Talbi,56,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9451,503714,Chimuanya Ugochukwu,Ugochukwu,Lesley Ugochukwu,90,2025-2026,last_unique,72.0,accepted,""
8430,427623,Chris Richards,Richards,Chris Richards,31,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13719,554197,Chris Rigg,Rigg,Chris Rigg,56,"2025-2026,2026-2027",exact_name,100.0,accepted,""
4456,60689,Chris Wood,Wood,Chris Wood,17,"2025-2026,2026-2027",exact_name,100.0,accepted,""
12726,660392,Christantus Uche,Uche,Christantus Uche,31,2025-2026,exact_name,100.0,accepted,""
7083,128295,Christian Nørgaard,Nørgaard,Christian Nørgaard,3,2025-2026,exact_name,100.0,accepted,""
9251,108813,Christian Walton,Walton,Christian Walton,40,2026-2027,exact_name,100.0,accepted,""
9746,439509,Christos Tzolis,Tzolis,Christos Tzolis,3,2026-2027,exact_name,100.0,accepted,""
1790,147675,Chuba Akpom,Akpom,Chuba Akpom,40,2026-2027,exact_name,100.0,accepted,""
9499,433590,Cody Drameh,Drameh,Cody Drameh,88,2026-2027,exact_name,100.0,accepted,""
11296,243298,Cody Gakpo,Gakpo,Cody Gakpo,14,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8497,244851,Cole Palmer,Palmer,Cole Palmer,8,"2025-2026,2026-2027",exact_name,100.0,accepted,""
10120,492777,Conor Bradley,Bradley,Conor Bradley,14,2025-2026,exact_name,100.0,accepted,""
9040,232787,Conor Gallagher,Gallagher,Conor Gallagher,6,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14854,451490,Costinha,Costinha,João Pedro Loureiro da Costa,36,2026-2027,exact_web,99.0,accepted,""
10024,500040,Cristhian Mosquera,Mosquera,Cristhian Mosquera,3,"2025-2026,2026-2027",exact_name,100.0,accepted,""
7218,221632,Cristian Romero,Romero,Cristian Romero,6,2025-2026,exact_name,100.0,accepted,""
9492,450070,Crysencio Summerville,Summerville,Crysencio Summerville,21,2025-2026,exact_name,100.0,accepted,""
6665,206915,Curtis Jones,C.Jones,Curtis Jones,14,2025-2026,exact_name,100.0,accepted,""
14352,571779,César Palacios,Palacios,César Palacios,54,2026-2027,exact_name,100.0,accepted,""
6145,209400,Daichi Kamada,Kamada,Daichi Kamada,31,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14772,442967,Daizen Maeda,Maeda,Daizen Maeda,40,2026-2027,exact_name,100.0,accepted,""
13715,223827,Dan Ballard,Ballard,Daniel Ballard,56,"2025-2026,2026-2027",last_initial,96.0,accepted,""
7382,78916,Dan Burn,Burn,Dan Burn,4,2025-2026,exact_name,100.0,accepted,""
8662,456512,Dan Ndoye,Ndoye,Dan Ndoye,17,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13720,223336,Dan Neil,Neil,Dan Neil,56,2025-2026,exact_name,100.0,accepted,""
9332,490145,Dane Scarlett,Scarlett,Dane Scarlett,6,2025-2026,exact_name,100.0,accepted,""
9662,533463,Dango Ouattara,O.Dango,Dango Ouattara,94,"2025-2026,2026-2027",exact_name,100.0,accepted,""
11361,79602,Daniel Bentley,Bentley,Daniel Bentley,39,2025-2026,exact_name,100.0,accepted,""
5595,200617,Daniel James,James,Daniel James,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9509,523700,Daniel Jebbison,Jebbison,Daniel Jebbison,91,2026-2027,exact_name,100.0,accepted,""
12408,247348,Daniel Muñoz,Muñoz,Daniel Muñoz Mejía,"17,31","2025-2026,2026-2027",contains_name,97.0,accepted,""
501,50175,Danny Welbeck,Welbeck,Danny Welbeck,"8,36","2025-2026,2026-2027",exact_name,100.0,accepted,""
8756,216616,Dara O&#039;Shea,O'Shea,Dara O'Shea,40,2026-2027,exact_name,100.0,accepted,""
4391,176420,Darnell Furlong,Furlong,Darnell Furlong,40,2026-2027,exact_name,100.0,accepted,""
15045,533646,Darío Osorio,Osorio,Darío Osorio,31,2026-2027,exact_name,100.0,accepted,""
13837,442299,David Affengruber,Affengruber,David Affengruber,54,2026-2027,exact_name,100.0,accepted,""
6820,111317,David Brooks,Brooks,David Brooks,91,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13740,497949,David Møller Wolfe,Møller Wolfe,David Møller Wolfe,39,2025-2026,exact_name,100.0,accepted,""
9676,154561,David Raya,Raya,David Raya Martín,3,"2025-2026,2026-2027",contains_name,97.0,accepted,""
7702,172649,Dean Henderson,Henderson,Dean Henderson,31,"2025-2026,2026-2027",exact_name,100.0,accepted,""
5553,204480,Declan Rice,Rice,Declan Rice,3,"2025-2026,2026-2027",exact_name,100.0,accepted,""
8537,461195,Dennis Cirkin,Cirkin,Dennis Cirkin,56,2025-2026,exact_name,100.0,accepted,""
10169,550090,Diego Coppola,Coppola,Diego Coppola,36,2025-2026,exact_name,100.0,accepted,""
13364,514254,Diego Gómez,Gomez,Diego Gómez Amarilla,36,"2025-2026,2026-2027",contains_name,97.0,accepted,""
8920,476887,Dilane Bakwa,Bakwa,Dilane Bakwa,17,2025-2026,exact_name,100.0,accepted,""
7281,216051,Diogo Dalot,Dalot,Diogo Dalot Teixeira,1,"2025-2026,2026-2027",contains_name,97.0,accepted,""
14055,590039,Divine Mukasa,Mukasa,Divine Mukasa,43,2025-2026,exact_name,100.0,accepted,""
10764,232859,Djed Spence,Spence,Djed Spence,6,2025-2026,exact_name,100.0,accepted,""
14460,699989,Djiamgone Jocelin Ta Bi,Jocelin.T,Djiamgone Jocelin Ta Bi,56,2025-2026,exact_name,100.0,accepted,""
12032,457569,Djordje Petrovic,Petrović,Đorđe Petrović,91,"2025-2026,2026-2027",last_initial,96.0,accepted,""
5555,177815,Dominic Calvert-Lewin,Calvert-Lewin,Dominic Calvert-Lewin,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
1679,154566,Dominic Solanke,Solanke,Dominic Solanke-Mitchell,6,"2025-2026,2026-2027",contains_name,97.0,accepted,""
9788,424876,Dominik Szoboszlai,Szoboszlai,Dominik Szoboszlai,14,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9749,204646,Donyell Malen,Malen,Donyell Malen,7,2025-2026,exact_name,100.0,accepted,""
6122,230046,Douglas Luiz,Douglas Luiz,Douglas Luiz Soares de Paulo,"7,17",2025-2026,exact_web,99.0,accepted,""
6756,433154,Dwight McNeil,McNeil,Dwight McNeil,"11,31","2025-2026,2026-2027",exact_name,100.0,accepted,""
13094,491007,Dário Essugo,D.Essugo,Dário Luís Essugo,8,2025-2026,last_initial,96.0,accepted,""
8706,232413,Eberechi Eze,Eze,Eberechi Eze,"3,31","2025-2026,2026-2027",exact_name,100.0,accepted,""
6482,205533,Eddie Nketiah,Nketiah,Eddie Nketiah,31,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13723,613804,El Hadji Malick Diouf,Diouf,El Hadji Malick Diouf,"21,94","2025-2026,2026-2027",exact_name,100.0,accepted,""
11504,560262,Eli Junior Kroupi,Kroupi.Jr,Junior Kroupi,91,2025-2026,contains_name,97.0,accepted,""
13718,564406,Eliezer Mayenda,Mayenda,Eliezer Mayenda Dossou,56,2025-2026,contains_name,97.0,accepted,""
9154,215379,Elliot Anderson,Anderson,Elliot Anderson,"17,43","2025-2026,2026-2027",exact_name,100.0,accepted,""
14763,608227,Elliot Stroud,Stroud,Elliot Stroud,88,2026-2027,exact_name,100.0,accepted,""
8582,218997,Ellis Simms,Simms,Ellis Simms,9,2026-2027,exact_name,100.0,accepted,""
14082,543968,Emersonn,Emersonn,Emersonn Correia da Silva,40,2026-2027,exact_web,99.0,accepted,""
1545,111773,Emil Krafth,Krafth,Emil Krafth,4,2025-2026,exact_name,100.0,accepted,""
7230,209289,Emile Smith-Rowe,Smith Rowe,Emile Smith Rowe,54,"2025-2026,2026-2027",exact_name,100.0,accepted,""
2203,195546,Emiliano Buendía,Buendía,Emiliano Buendía Stati,7,"2025-2026,2026-2027",contains_name,97.0,accepted,""
4401,98980,Emiliano Martinez,Martinez,Emiliano Martínez Romero,"7,8","2025-2026,2026-2027",contains_name,97.0,accepted,""
10856,516939,Emmanuel Agbadou,Agbadou,Emmanuel Agbadou,39,2025-2026,exact_name,100.0,accepted,""
6219,168636,Enes Ünal,Enes Ünal,Enes Ünal,91,2025-2026,exact_name,100.0,accepted,""
11356,448047,Enzo Fernández,Enzo,Enzo Fernández,"8,43","2025-2026,2026-2027",exact_name,100.0,accepted,""
8651,484420,Enzo Le Fée,E.Le Fée,Enzo Le Fée,56,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14981,241293,Ephron Mason-Clark,Mason-Clark,Ephron Mason-Clark,9,2026-2027,exact_name,100.0,accepted,""
8260,223094,Erling Haaland,Haaland,Erling Haaland,43,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13775,624773,Estêvão,Estêvão,Estêvão Almeida de Oliveira Gonçalves,8,"2025-2026,2026-2027",exact_web,99.0,accepted,""
6369,199598,Ethan Ampadu,Ampadu,Ethan Ampadu,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
11132,499175,Ethan Nwaneri,Nwaneri,Ethan Nwaneri,3,2025-2026,exact_name,100.0,accepted,""
9678,231065,Ethan Pinnock,Pinnock,Ethan Pinnock,"9,94","2025-2026,2026-2027",exact_name,100.0,accepted,""
12963,444102,Evanilson,Evanilson,Francisco Evanilson de Lima Barbosa,91,"2025-2026,2026-2027",exact_web,99.0,accepted,""
8006,485337,Evann Guessand,Guessand,Evann Guessand,"7,31","2025-2026,2026-2027",exact_name,100.0,accepted,""
8325,218543,Exequiel Palacios,Palacios,Exequiel Palacios,40,2026-2027,exact_name,100.0,accepted,""
13247,602903,Ezra Mayers,Mayers,Ezra Mayers,21,2025-2026,exact_name,100.0,accepted,""
7726,199798,Ezri Konsa Ngoyo,Konsa,Ezri Konsa Ngoyo,"3,7","2025-2026,2026-2027",exact_name,100.0,accepted,""
76,119471,Fabian Schär,Schär,Fabian Schär,4,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9501,244858,Fabio Carvalho,Carvalho,Fábio Freitas Gouveia Carvalho,94,"2025-2026,2026-2027",last_initial,96.0,accepted,""
11362,536916,Facundo Buonanotte,Buonanotte,Facundo Buonanotte,"2,8",2025-2026,exact_name,100.0,accepted,""
1433,223541,Federico Chiesa,Chiesa,Federico Chiesa,14,2025-2026,exact_name,100.0,accepted,""
13066,231416,Ferdi Kadioglu,F.Kadıoğlu,Ferdi Kadıoğlu,36,"2025-2026,2026-2027",exact_name,100.0,accepted,""
13200,643135,Fernando López,Fer López,Fer López González,39,2025-2026,web_last_initial,95.5,accepted,""
9272,508479,Filip Jorgensen,Jörgensen,Filip Jörgensen,8,2025-2026,exact_name,100.0,accepted,""
8969,216055,Florentino Luís,Florentino,Florentino Ibrain Morris Luís,"40,90","2025-2026,2026-2027",last_initial,96.0,accepted,""
8397,494595,Florian Wirtz,Wirtz,Florian Wirtz,14,"2025-2026,2026-2027",exact_name,100.0,accepted,""
9681,428580,Frank Onyeka,Onyeka,Frank Onyeka,"9,94","2025-2026,2026-2027",exact_name,100.0,accepted,""
13724,490142,Freddie Potts,Potts,Freddie Potts,21,2025-2026,exact_name,100.0,accepted,""
852,155503,Freddie Woodman,Woodman,Freddie Woodman,14,2025-2026,exact_name,100.0,accepted,""
5613,226597,Gabriel,Gabriel,Gabriel dos Santos Magalhães,3,"2025-2026,2026-2027",exact_web,99.0,accepted,""
9944,243526,Gabriel Gudmundsson,Gudmundsson,Gabriel Gudmundsson,2,"2025-2026,2026-2027",exact_name,100.0,accepted,""
5543,205651,Gabriel Jesus,G.Jesus,Gabriel Fernando de Jesus,3,2025-2026,last_initial,96.0,accepted,""
7752,444145,Gabriel Martinelli,Martinelli,Gabriel Martinelli Silva,3,2025-2026,contains_name,97.0,accepted,""
12474,490885,George Earthy,Earthy,George Earthy,21,2025-2026,exact_name,100.0,accepted,""
14193,577285,George Hemmings,George Hemmings,George Hemmings,7,"2025-2026,2026-2027",exact_name,100.0,accepted,""
6937,463067,Georginio Rutter,Georginio,Georginio Rutter,36,"2025-2026,2026-2027",exact_name,100.0,accepted,""
14923,593117,Geovany Quenda,Quenda,Geovany Quenda,8,2026-2027,exact_name,100.0,accepted,""
