understat_team_id,understat_title,understat_slug,team_code,fpl_name,fpl_short,notes
83,Arsenal,Arsenal,3,Arsenal,ARS,
71,Aston Villa,Aston_Villa,7,Aston Villa,AVL,
73,Bournemouth,Bournemouth,91,Bournemouth,BOU,
244,Brentford,Brentford,94,Brentford,BRE,
220,Brighton,Brighton,36,Brighton,BHA,
92,Burnley,Burnley,90,Burnley,BUR,2025-2026 relegated / may return
80,Chelsea,Chelsea,8,Chelsea,CHE,
294,Coventry,Coventry,9,Coventry City,COV,promoted 2026-2027
78,Crystal Palace,Crystal_Palace,31,Crystal Palace,CRY,
72,Everton,Everton,11,Everton,EVE,
228,Fulham,Fulham,54,Fulham,FUL,
91,Hull,Hull,88,Hull City,HUL,promoted 2026-2027
285,Ipswich,Ipswich,40,Ipswich Town,IPS,in 2026-2027 understat list
245,Leeds,Leeds,2,Leeds,LEE,
87,Liverpool,Liverpool,14,Liverpool,LIV,
88,Manchester City,Manchester_City,43,Man City,MCI,
89,Manchester United,Manchester_United,1,Man Utd,MUN,
86,Newcastle United,Newcastle_United,4,Newcastle,NEW,
249,Nottingham Forest,Nottingham_Forest,17,Nott'm Forest,NFO,
77,Sunderland,Sunderland,56,Sunderland,SUN,
82,Tottenham,Tottenham,6,Spurs,TOT,
81,West Ham,West_Ham,21,West Ham,WHU,2025-2026; check 2026 roster
229,Wolverhampton Wanderers,Wolverhampton_Wanderers,39,Wolves,WOL,2025-2026; check 2026 roster
